Amplitude_high,Freq_domain,Time_overlap,Stage,Centertime
False,1,False,W,131174063.62128125
False,1,False,W,131174987.9376875
False,1,False,W,131175893.212125
False,1,False,W,131189623.684875
False,1,False,W,131191568.998375
False,1,False,W,131194699.36946875
False,1,False,W,131198716.4613125
False,1,False,W,131226610.51228125
False,1,False,W,131244068.0378125
False,1,False,W,131249710.6169375
False,1,False,W,131267896.1698125
False,1,False,W,131285671.5654375
False,1,False,W,131294560.2403125
False,1,False,W,131305141.298
False,1,False,W,131338923.5345625
False,1,False,W,131349615.43309376
False,1,False,W,131356817.09525
False,1,False,W,131374736.0455625
False,1,False,W,131413586.15521875
False,1,False,W,131415707.24996875
False,1,False,W,131455243.8830625
False,1,False,W,131456302.96509375
False,1,False,W,131457687.2434375
False,1,False,W,131467859.1214375
False,1,False,W,131471417.22790626
False,1,False,W,131472393.302125
False,1,False,W,131474368.40078124
False,1,False,W,131476986.56584375
False,1,False,W,131481069.086375
False,1,False,W,131485078.853
False,1,False,W,131511422.12271875
False,1,False,W,131513752.690125
False,1,False,W,131515529.54559375
False,1,False,W,131516132.08465625
False,1,False,W,131521802.00853124
False,1,False,W,131557674.578125
False,1,False,W,131569918.23446874
False,1,False,W,131579188.257
False,1,False,W,131642357.2213125
False,1,False,W,131663337.6960625
False,1,False,W,131682792.7801875
False,1,False,W,131683714.16790625
False,1,False,W,131709026.186625
False,1,False,W,131731024.2405
False,1,False,W,131736214.18390626
False,1,False,W,131764105.3051875
False,1,False,W,131769066.73296875
False,1,False,W,131786275.72234374
False,1,False,W,131786800.13640624
False,1,False,W,131794976.4089375
False,1,False,W,131825971.535125
False,1,False,W,131828825.54003125
False,1,False,W,131837010.600625
False,1,False,W,131873773.3079375
False,1,False,W,131897844.11571875
False,1,False,W,131898393.92040625
False,1,False,W,131909464.23590624
False,1,False,W,131946307.02134375
False,1,False,W,131954303.11709376
False,1,False,W,131959229.87690625
False,1,False,W,131984054.5909375
False,1,False,W,131998975.00609376
False,1,False,W,132007538.48465624
False,1,False,W,132038597.5766875
False,1,False,W,132045261.15290625
False,1,False,W,132068456.9606875
False,1,False,W,132085434.99303125
False,1,False,W,132086159.60240625
False,1,False,W,132165119.0990625
False,1,False,W,132166602.98678125
False,1,False,W,132168209.43209375
False,1,False,W,132184694.300375
False,1,False,W,132204748.993875
False,1,False,W,132209577.60915625
False,1,False,W,132210358.370875
False,2,False,W,132210440.89040625
False,1,False,W,132213258.7625
False,1,False,W,132246413.55765624
False,1,False,W,132254000.962
False,1,False,W,132260361.80384375
False,1,False,W,132267341.29903124
False,1,False,W,132295585.44765624
False,1,False,W,132299675.7806875
False,1,False,W,132310413.089375
False,1,False,W,132316082.0356875
False,1,False,W,132329510.26334375
False,1,False,W,132345603.04078124
False,1,False,W,132347799.819125
False,1,False,W,132369217.794875
False,1,False,W,132381247.58303125
False,1,False,W,132421940.467125
False,1,False,W,132425229.530625
False,1,False,W,132439951.70259374
False,1,False,W,132441565.96140625
False,1,False,W,132442554.24265625
False,1,False,W,132445726.6069375
False,1,False,W,132452911.66753125
False,1,False,W,132458010.30234376
False,1,False,W,132473559.62275
False,1,False,W,132482544.48903126
False,1,False,W,132483420.46559376
False,1,False,W,132485607.4783125
False,2,False,W,132505986.3905625
False,1,False,W,132506097.23040625
False,1,False,W,132525468.33015625
False,1,False,W,132526745.186625
False,1,False,W,132527929.7569375
False,1,False,W,132528679.7569375
False,1,False,W,132539810.6203125
False,1,False,W,132540582.1046875
False,1,False,W,132541954.175
False,1,False,W,132581878.015125
False,1,False,W,132611757.41965625
False,1,False,W,132620531.3474375
False,1,False,W,132623847.26640625
False,1,False,W,132633979.10534374
False,1,False,W,132639617.77921875
False,1,False,W,132642761.33490625
False,1,False,W,132656753.52640624
False,1,False,W,132666355.09190625
False,1,False,W,132678171.9904375
False,1,False,W,132692245.72490625
False,1,False,W,132697344.848
False,1,False,W,132698422.973
False,1,False,W,132707629.51896875
False,1,False,W,132743526.99090625
False,1,False,W,132751878.067125
False,1,False,W,132766305.8065
False,1,False,W,132767078.75571875
False,1,False,W,132791704.73928125
False,1,False,W,132799787.75009374
False,1,False,W,132812287.2658125
False,1,False,W,132837131.0228125
False,1,False,W,132838191.08240625
False,1,False,W,132842322.4310625
False,1,False,W,132848864.42525
False,1,False,W,132854400.07178125
False,1,False,W,132858057.787625
False,1,False,W,132862163.74565625
False,1,False,W,132863320.4839375
False,1,False,W,132866985.03571875
False,1,False,W,132869325.85703126
False,1,False,W,132869857.10703126
False,1,False,W,132888795.58959375
False,1,False,W,132892043.63746876
False,1,False,W,132899779.96759374
False,1,False,W,132906779.97059375
False,1,False,W,132925013.37403125
False,1,False,W,132928955.2695625
False,1,False,W,132931049.50884375
False,1,False,W,132939467.47959375
False,1,False,W,132941955.76184376
False,1,False,W,132964659.382125
False,1,False,W,132980505.09025
False,1,False,W,132985883.0219375
False,1,False,W,132994630.09425
False,1,False,W,133003737.519125
False,1,False,W,133004256.0738125
False,1,False,W,133014912.3278125
False,1,False,W,133019801.48896874
False,1,False,W,133034755.59553126
False,1,False,W,133038544.65903126
False,1,False,W,133045427.47353125
False,1,False,W,133065705.3115625
False,1,False,W,133088293.2091875
False,1,False,W,133096174.55884375
False,1,False,W,133146882.58265625
False,1,False,W,133160073.01634374
False,1,False,W,133161831.317125
False,1,False,W,133172217.55059375
False,1,False,W,133173977.31721875
False,1,False,W,133176122.82603125
False,1,False,W,133178762.96275
False,1,False,W,133181285.91296875
False,1,False,W,133208280.549875
False,1,False,W,133291705.3805625
False,1,False,W,133292727.35321875
False,1,False,W,133308885.0730625
False,1,False,W,133328086.73921876
